Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:03:58.00,IMU,3.42,102.54,-1031.74,1.51,-13.60,-3.98,-34.50,13.65,-54.75,28.5
2026/04/13 15:03:58.10,IMU,25.88,166.02,-1037.11,-6.44,-0.51,-3.13,-34.65,14.85,-56.70,28.5
2026/04/13 15:03:58.20,IMU,-0.49,166.99,-1004.88,-3.18,-4.66,-3.18,-34.20,15.15,-56.25,28.4
2026/04/13 15:03:58.30,IMU,34.67,166.50,-1020.02,1.95,2.44,-0.63,-35.25,16.20,-56.55,28.6
2026/04/13 15:03:58.40,IMU,-1.46,150.39,-998.05,1.43,0.60,-1.75,-35.25,15.15,-55.20,28.4
2026/04/13 15:03:58.50,IMU,22.95,143.55,-1021.00,0.61,3.84,-2.48,-34.35,15.30,-55.65,28.5
2026/04/13 15:03:58.60,IMU,19.53,155.27,-1002.93,-3.54,13.98,-2.19,-35.85,16.05,-55.65,28.5
2026/04/13 15:03:58.70,IMU,65.43,125.00,-999.02,8.89,35.58,-0.40,-36.75,14.70,-54.45,28.6
2026/04/13 15:03:58.80,IMU,90.82,156.74,-1003.42,-1.17,7.33,3.77,-38.40,14.85,-54.30,28.6
2026/04/13 15:03:58.90,IMU,90.33,134.77,-1011.23,4.95,-4.24,-2.67,-39.60,13.95,-52.95,28.5
2026/04/13 15:03:59.01,IMU,83.50,112.79,-1005.37,0.83,-4.52,-0.14,-38.25,13.65,-55.50,28.7
2026/04/13 15:03:59.11,IMU,66.41,104.49,-1008.79,1.56,-4.31,-3.18,-39.00,14.70,-54.75,28.5
2026/04/13 15:03:59.21,IMU,376.46,116.21,-1278.32,32.61,250.13,22.53,-42.00,14.10,-53.85,28.6
2026/04/13 15:03:59.31,IMU,679.69,9.77,-614.26,-0.93,174.96,28.82,-65.25,8.40,-28.65,28.7
2026/04/13 15:03:59.41,IMU,900.88,-29.79,-303.22,-12.09,250.13,47.47,-69.45,7.95,-15.75,28.7
2026/04/13 15:03:59.51,IMU,1012.70,14.65,23.93,3.83,46.24,-8.34,-68.55,5.40,7.35,28.5
2026/04/13 15:03:59.61,IMU,958.50,-28.81,50.78,0.16,35.07,-1.21,-67.95,7.20,9.60,28.6
2026/04/13 15:03:59.71,IMU,962.40,1.95,-77.15,28.55,-168.66,-25.16,-67.65,7.20,6.45,28.6
2026/04/13 15:03:59.81,IMU,893.07,48.34,-407.23,20.40,-223.97,-37.53,-70.05,11.10,-10.50,28.6
2026/04/13 15:03:59.91,IMU,733.40,123.05,-706.54,3.17,-128.26,-17.98,-67.20,13.65,-27.75,28.4
2026/04/13 15:04:00.01,IMU,505.37,135.25,-833.01,-2.93,-174.40,-24.30,-59.10,15.15,-39.30,28.6
2026/04/13 15:04:00.11,IMU,292.48,107.42,-952.64,-0.22,-163.17,-7.34,-48.15,16.65,-49.35,28.7
2026/04/13 15:04:00.21,IMU,-158.69,159.18,-981.45,6.27,-250.14,-20.40,-31.05,15.75,-56.70,28.6
2026/04/13 15:04:00.31,IMU,-576.66,76.17,-855.47,17.84,-210.89,-10.24,-1.65,14.85,-52.50,28.7
2026/04/13 15:04:00.41,IMU,-810.06,90.82,-595.70,11.05,-161.63,29.36,10.80,15.75,-48.15,28.3
2026/04/13 15:04:00.51,IMU,-850.10,123.05,-401.86,-22.76,-79.90,46.31,19.50,17.70,-40.35,28.7
2026/04/13 15:04:00.61,IMU,-808.59,278.81,-462.40,-15.40,84.52,-2.79,17.10,21.75,-39.45,28.8
2026/04/13 15:04:00.71,IMU,-816.89,217.29,-600.59,7.06,105.24,-0.85,13.35,21.75,-42.75,28.6
2026/04/13 15:04:00.81,IMU,-624.02,215.33,-793.95,23.22,208.65,-6.34,5.10,19.65,-50.10,28.8
2026/04/13 15:04:00.91,IMU,-138.18,125.98,-923.34,35.98,250.13,34.82,-27.00,15.75,-56.10,28.6
2026/04/13 15:04:01.01,IMU,271.48,139.16,-967.77,4.54,26.19,11.40,-47.40,14.40,-46.20,28.9
2026/04/13 15:04:01.11,IMU,171.39,-7.81,-894.04,-25.44,-23.91,-13.95,-46.65,12.90,-48.30,28.6
2026/04/13 15:04:01.21,IMU,106.45,414.55,-883.30,-130.85,-73.44,-68.57,-42.00,22.20,-52.50,28.7
2026/04/13 15:04:01.32,IMU,61.04,579.59,-804.69,-165.75,25.48,-37.39,-38.25,36.75,-48.60,28.7
2026/04/13 15:04:01.42,IMU,76.17,690.43,-764.16,-94.77,30.56,37.25,-39.90,47.55,-38.70,28.8
2026/04/13 15:04:01.52,IMU,75.20,784.18,-623.54,-72.78,-147.69,-16.45,-41.25,50.55,-33.30,28.7
2026/04/13 15:04:01.62,IMU,-26.37,865.23,-612.79,-36.39,-87.43,1.07,-35.40,53.25,-31.80,28.7
2026/04/13 15:04:01.72,IMU,-141.11,785.16,-710.94,55.73,-10.36,-13.79,-32.55,54.45,-30.75,28.6
2026/04/13 15:04:01.82,IMU,-102.54,695.80,-756.84,143.69,59.56,-30.11,-30.30,50.25,-42.75,28.4
2026/04/13 15:04:01.92,IMU,31.25,385.25,-1059.08,123.62,124.02,-0.15,-31.80,34.35,-51.30,28.8
2026/04/13 15:04:02.02,IMU,135.25,286.13,-837.40,63.52,65.95,5.14,-41.70,25.50,-50.25,28.6
2026/04/13 15:04:02.12,IMU,196.29,336.43,-835.94,3.93,-71.11,-28.33,-44.10,21.60,-49.35,28.5
2026/04/13 15:04:02.22,IMU,361.33,289.55,-947.75,-18.41,42.82,25.77,-47.25,22.20,-47.70,28.6
2026/04/13 15:04:02.32,IMU,197.75,171.39,-980.47,6.02,-35.75,-6.38,-46.50,22.95,-46.65,28.6
2026/04/13 15:04:02.42,IMU,278.81,250.98,-1038.57,2.88,-27.10,-10.27,-43.65,21.90,-49.35,28.9
