Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 14:29:14.00,IMU,-52.73,-570.80,-848.63,-0.56,2.33,1.73,-37.05,-132.45,83.70,27.1
2026/04/15 14:29:14.10,IMU,-71.29,-574.22,-852.54,-1.13,5.50,0.50,-43.95,-146.25,79.80,26.7
2026/04/15 14:29:14.20,IMU,-24.90,-583.50,-869.14,-5.00,27.82,0.13,-43.65,-161.25,87.30,27.0
2026/04/15 14:29:14.30,IMU,-1.95,-568.85,-807.13,-6.67,-5.19,1.29,-32.70,-177.60,103.50,27.1
2026/04/15 14:29:14.40,IMU,-3.42,-554.20,-853.52,-1.05,-8.66,3.68,-31.80,-171.00,108.00,27.0
2026/04/15 14:29:14.50,IMU,-36.62,-575.20,-868.16,-1.26,-2.42,2.50,-44.25,-158.10,104.40,26.9
2026/04/15 14:29:14.60,IMU,-53.22,-551.76,-863.77,0.89,-1.11,1.96,-69.60,-169.50,97.95,27.1
2026/04/15 14:29:14.70,IMU,-60.06,-561.04,-850.10,1.52,-2.89,1.77,-96.15,-184.20,80.25,27.1
2026/04/15 14:29:14.80,IMU,-36.62,-544.92,-851.56,-1.14,-3.81,-3.50,-110.10,-190.65,58.95,26.7
2026/04/15 14:29:14.90,IMU,-51.27,-476.56,-868.65,1.11,-9.96,5.59,-111.90,-205.20,60.00,27.2
2026/04/15 14:29:15.00,IMU,-71.78,-564.94,-866.70,2.57,-11.05,3.98,-117.00,-221.70,64.95,26.8
2026/04/15 14:29:15.10,IMU,-108.89,-581.05,-824.71,13.70,-23.62,3.56,-126.30,-224.10,48.90,27.0
2026/04/15 14:29:15.20,IMU,-151.37,-608.40,-820.80,9.59,-61.27,2.48,-132.00,-229.95,43.95,27.0
2026/04/15 14:29:15.30,IMU,-155.76,-577.64,-852.05,4.90,-9.57,0.97,-140.70,-251.85,36.60,26.8
2026/04/15 14:29:15.41,IMU,-199.22,-655.27,-791.99,2.04,-34.10,5.67,-148.35,-258.30,30.45,27.0
2026/04/15 14:29:15.51,IMU,-208.01,-565.43,-916.50,4.43,18.95,-3.53,-153.00,-261.60,15.15,27.2
2026/04/15 14:29:15.61,IMU,-210.94,-608.40,-796.88,1.68,2.04,-1.85,-159.30,-270.60,16.20,27.0
2026/04/15 14:29:15.71,IMU,-174.80,-593.26,-764.65,0.50,-12.27,-9.66,-158.10,-271.05,13.65,26.7
2026/04/15 14:29:15.81,IMU,-229.98,-595.21,-876.46,-7.52,11.94,-6.02,-159.60,-269.85,12.90,27.0
2026/04/15 14:29:15.91,IMU,-98.63,-612.30,-653.81,-11.70,40.78,-25.37,-163.35,-263.85,15.15,26.9
2026/04/15 14:29:16.01,IMU,-103.03,-562.01,-859.38,-1.53,1.64,-4.02,-163.35,-259.95,23.10,26.9
2026/04/15 14:29:16.11,IMU,-114.75,-610.35,-828.61,0.08,10.15,1.36,-165.30,-261.30,21.00,27.2
2026/04/15 14:29:16.21,IMU,-131.84,-611.82,-853.03,-1.95,1.98,-3.06,-165.75,-260.25,20.70,27.1
2026/04/15 14:29:16.31,IMU,-102.05,-581.54,-842.29,-2.04,19.61,-4.37,-166.50,-260.25,20.25,26.9
2026/04/15 14:29:16.41,IMU,-57.13,-573.24,-789.06,-4.82,15.05,0.17,-166.05,-261.30,17.40,27.0
2026/04/15 14:29:16.51,IMU,4.88,-577.64,-795.90,-3.39,-4.87,-2.40,-166.50,-263.55,19.20,27.1
2026/04/15 14:29:16.61,IMU,-20.51,-576.17,-792.48,-4.34,-7.44,-2.60,-164.55,-263.55,21.00,27.0
2026/04/15 14:29:16.71,IMU,-55.66,-657.23,-901.37,-4.30,12.12,6.23,-162.00,-261.30,21.75,27.0
2026/04/15 14:29:16.81,IMU,20.02,-550.78,-865.72,-5.89,16.98,6.66,-162.60,-258.45,21.90,27.0
2026/04/15 14:29:16.91,IMU,-55.18,-573.73,-877.93,0.84,7.75,11.89,-163.50,-256.80,22.80,27.3
2026/04/15 14:29:17.01,IMU,-23.93,-566.41,-818.85,1.30,3.76,-0.21,-165.15,-256.65,22.65,26.8
2026/04/15 14:29:17.11,IMU,-22.46,-559.08,-879.88,-2.29,5.29,4.45,-165.15,-256.20,20.10,27.0
2026/04/15 14:29:17.21,IMU,-19.53,-590.82,-814.94,3.00,-9.95,-2.55,-166.20,-256.65,19.35,27.2
2026/04/15 14:29:17.31,IMU,-108.40,-747.07,-907.71,5.94,-0.82,-10.05,-169.05,-254.85,24.60,27.1
2026/04/15 14:29:17.41,IMU,-1.95,-567.38,-799.32,6.50,-12.32,-0.50,-169.35,-255.60,29.40,26.9
2026/04/15 14:29:17.51,IMU,1.46,-495.61,-749.51,-0.59,4.17,5.95,-168.45,-256.65,29.55,27.1
2026/04/15 14:29:17.61,IMU,-61.04,-531.25,-1133.79,21.72,-11.15,11.68,-167.55,-259.50,31.50,27.0
2026/04/15 14:29:17.71,IMU,61.04,-717.29,-1062.99,34.26,21.55,-3.89,-170.55,-274.95,34.05,27.3
2026/04/15 14:29:17.81,IMU,152.83,-669.92,-752.93,33.75,-1.18,-35.74,-169.80,-277.35,35.10,27.2
2026/04/15 14:29:17.91,IMU,241.70,-744.14,-796.88,27.92,31.88,39.85,-166.80,-281.85,37.35,27.0
2026/04/15 14:29:18.01,IMU,33.69,-710.45,-867.19,-6.21,29.57,-4.11,-161.85,-285.90,42.45,27.1
2026/04/15 14:29:18.11,IMU,45.90,-665.53,-708.98,-11.15,5.95,0.34,-163.05,-290.25,37.35,27.2
2026/04/15 14:29:18.21,IMU,125.00,-645.02,-727.05,-13.40,3.52,-1.05,-163.65,-288.15,36.75,27.1
2026/04/15 14:29:18.32,IMU,112.79,-681.64,-750.98,-0.63,42.58,28.86,-162.15,-289.95,36.45,27.1
2026/04/15 14:29:18.42,IMU,-16.60,-584.47,-742.19,0.59,-100.92,-27.43,-158.40,-290.55,40.95,26.9
2026/04/15 14:29:18.52,IMU,-47.85,-788.57,-958.98,5.50,-30.46,-1.66,-156.90,-280.35,34.80,27.0
2026/04/15 14:29:18.62,IMU,0.98,-589.36,-297.85,6.80,-79.48,-13.54,-154.80,-276.75,34.65,26.9
2026/04/15 14:29:18.72,IMU,-126.95,-638.18,-731.45,36.08,-24.27,9.76,-153.90,-267.00,33.60,26.8
2026/04/15 14:29:18.82,IMU,49.80,-665.53,-409.18,30.14,-93.66,-26.10,-153.15,-266.25,40.50,27.0
2026/04/15 14:29:18.92,IMU,-139.16,-727.05,-820.80,-52.05,57.62,-27.18,-157.05,-258.90,37.05,27.0
2026/04/15 14:29:19.02,IMU,30.27,-642.58,-807.13,7.49,25.54,-8.23,-160.35,-263.40,23.70,27.1
2026/04/15 14:29:19.12,IMU,-18.55,-612.79,-478.03,25.37,95.58,-31.91,-164.10,-266.85,28.50,26.7
2026/04/15 14:29:19.22,IMU,114.26,-674.32,-742.68,-15.02,-5.41,-0.60,-165.30,-274.20,22.05,27.1
2026/04/15 14:29:19.32,IMU,127.44,-651.86,-863.77,-16.62,-50.72,-36.70,-165.45,-269.10,20.85,26.8
2026/04/15 14:29:19.42,IMU,73.73,-603.52,-793.95,-24.97,-5.15,-7.63,-166.05,-261.75,19.95,26.9
2026/04/15 14:29:19.52,IMU,131.35,-569.34,-816.89,-13.96,-6.53,-9.15,-165.30,-257.10,16.65,27.0
2026/04/15 14:29:19.62,IMU,125.98,-561.04,-811.04,-6.54,-3.27,3.50,-166.80,-252.30,16.35,26.8
2026/04/15 14:29:19.72,IMU,76.66,-562.99,-831.54,-3.60,-0.22,6.26,-166.50,-249.60,14.25,26.9
2026/04/15 14:29:19.82,IMU,-95.70,333.01,-1547.36,-208.34,74.60,58.69,-167.10,-249.90,14.85,26.7
2026/04/15 14:29:19.92,IMU,-119.14,-710.45,-973.14,-3.13,-7.09,-5.22,-170.10,-254.85,35.55,27.1
2026/04/15 14:29:20.02,IMU,86.91,-564.45,-913.09,-10.85,3.60,0.99,-172.65,-255.60,36.60,26.9
2026/04/15 14:29:20.12,IMU,65.92,-518.55,-833.98,8.91,-5.19,9.24,-175.20,-255.30,37.65,27.0
2026/04/15 14:29:20.22,IMU,65.92,-504.88,-837.89,1.21,0.28,3.15,-172.65,-255.30,34.80,26.7
2026/04/15 14:29:20.32,IMU,63.48,-548.83,-953.13,-2.26,8.79,0.82,-172.20,-255.90,35.70,27.2
2026/04/15 14:29:20.42,IMU,49.80,-551.76,-841.31,0.92,-0.06,4.07,-172.20,-258.15,36.45,26.8
2026/04/15 14:29:20.52,IMU,47.85,-546.39,-924.32,0.51,1.83,-0.16,-171.00,-257.70,35.70,26.9
2026/04/15 14:29:20.62,IMU,66.89,-523.44,-900.39,-3.76,7.53,0.55,-169.95,-256.95,36.75,27.1
2026/04/15 14:29:20.72,IMU,61.52,-546.88,-868.65,6.79,-6.32,-5.69,-168.60,-260.55,39.15,27.0
2026/04/15 14:29:20.82,IMU,25.88,-426.76,-1530.27,16.82,4.33,-2.60,-170.85,-257.85,36.60,27.1
